artist_name,artist_id,monthly_listeners,source_url,scrape_date,data_source,extraction_method
SB19,3g7vYcdDXnqnDKYFwqXBJP,1679155,https://open.spotify.com/artist/3g7vYcdDXnqnDKYFwqXBJP,2025-08-31 21:03:36,kworb.net,kworb_fallback_alt
BINI,7tNO3vJC9zlHy2IJOx34ga,1940101,https://open.spotify.com/artist/7tNO3vJC9zlHy2IJOx34ga,2025-08-31 21:03:44,kworb.net,kworb_fallback_alt
SB19,3g7vYcdDXnqnDKYFwqXBJP,1669322,https://open.spotify.com/artist/3g7vYcdDXnqnDKYFwqXBJP,2025-09-03 03:24:45,kworb.net,kworb_fallback_alt
BINI,7tNO3vJC9zlHy2IJOx34ga,1918140,https://open.spotify.com/artist/7tNO3vJC9zlHy2IJOx34ga,2025-09-03 03:24:53,kworb.net,kworb_fallback_alt
SB19,3g7vYcdDXnqnDKYFwqXBJP,1665671,https://open.spotify.com/artist/3g7vYcdDXnqnDKYFwqXBJP,2025-09-03 14:24:46,kworb.net,kworb_fallback_alt
BINI,7tNO3vJC9zlHy2IJOx34ga,1911383,https://open.spotify.com/artist/7tNO3vJC9zlHy2IJOx34ga,2025-09-03 14:24:54,kworb.net,kworb_fallback_alt
SB19,3g7vYcdDXnqnDKYFwqXBJP,1665671,https://open.spotify.com/artist/3g7vYcdDXnqnDKYFwqXBJP,2025-09-04 01:35:26,kworb.net,kworb_fallback_alt
BINI,7tNO3vJC9zlHy2IJOx34ga,1911383,https://open.spotify.com/artist/7tNO3vJC9zlHy2IJOx34ga,2025-09-04 01:35:33,kworb.net,kworb_fallback_alt
